n,ann_ret,ann_vol,sharpe,max_dd,win,ann_alpha,t_alpha,beta,target,predictor,smooth_N,hold_K,cost_rt,avg_daily_turn,ann_turn
4653,0.12032797186725844,0.1056241766499594,1.1392086138198048,-0.2134029314091761,0.3660004298302171,0.07843047711126101,2.9220962983253522,0.3461702433726296,P_md,P_lead,20,20,0.008,0.02192134107027724,5.524177949709864
4653,0.11480379391754855,0.10584978397146125,1.084591669535211,-0.22438170359464626,0.3649258542875564,0.07287966103016691,2.6895497432649957,0.3463903359695257,P_md,P_lead,20,20,0.01,0.02192134107027724,5.524177949709864
4672,0.1078902324977414,0.0838809817871907,1.2862299677352742,-0.19388172535056236,0.238013698630137,0.08209076510849879,4.130077415421267,0.21464775192439534,P_md,1590,1,1,0.0,0.4158818493150685,104.80222602739727
4672,-0.0493131065433545,0.0844952974177503,-0.5836195391981079,-0.6500795637687371,0.2183219178082192,-0.07499373425133446,-3.601549400447489,0.21365902335734485,P_md,1590,1,1,0.003,0.4158818493150685,104.80222602739727
4672,-0.15411533257075177,0.08579911252225277,-1.796234576794493,-0.9479012200474867,0.20226883561643835,-0.1797167338245566,-7.664836134210282,0.2129998709793112,P_md,1590,1,1,0.005,0.4158818493150685,104.80222602739727
4672,-0.3113186716118477,0.08901768813641173,-3.497267544566866,-0.9971505460568397,0.18086472602739725,-0.33680123318438976,-11.486355419808039,0.21201114241226077,P_md,1590,1,1,0.008,0.4158818493150685,104.80222602739727
4672,-0.416120897639245,0.09193656055121038,-4.526174300456431,-0.9995904296922506,0.16866438356164384,-0.4415242327576119,-12.980692819835998,0.21135199003422706,P_md,1590,1,1,0.01,0.4158818493150685,104.80222602739727
4668,0.07190791388230046,0.08167448642196032,0.8804207658043645,-0.21236555060290774,0.23821765209940018,0.047253171987769134,2.2393291620593088,0.20183194161485957,P_md,1590,1,5,0.0,0.0779777206512425,19.65038560411311
4668,0.042432335476130796,0.08179795809868011,0.5187456565228794,-0.253795012921726,0.2358611825192802,0.017814847257334294,0.842594253744549,0.20152697059800542,P_md,1590,1,5,0.003,0.0779777206512425,19.65038560411311
4668,0.022781949872017676,0.08215635722451348,0.27729990279096856,-0.28022926343607546,0.23286203941730935,-0.0018107025629555905,-0.08513954614343826,0.20132365658676937,P_md,1590,1,5,0.005,0.0779777206512425,19.65038560411311
4668,-0.0066936285341519805,0.08310093901662455,-0.08054816965200481,-0.32241482807486554,0.22729220222793486,-0.03124902729339046,-1.4469431853124834,0.20101868556991528,P_md,1590,1,5,0.008,0.0779777206512425,19.65038560411311
4668,-0.026344014138265093,0.08399486309420051,-0.31363839606143773,-0.5159643764707074,0.22514995715509856,-0.050874577113680354,-2.3222485272643425,0.20081537155867918,P_md,1590,1,5,0.01,0.0779777206512425,19.65038560411311
4663,0.06938118960683189,0.08254839171623395,0.8404911127200969,-0.17464772731595757,0.24597898348702552,0.044291341657037415,2.2224922052090057,0.2056910080152746,P_md,1590,1,10,0.0,0.03860175852455501,9.727643148187862
4663,0.05478972488455011,0.08255161252269334,0.663702660798885,-0.18239322390746293,0.24469225820287369,0.02969511465071536,1.4833091160842784,0.20573005006154993,P_md,1590,1,10,0.003,0.03860175852455501,9.727643148187862
4663,0.04506208173636224,0.08269527553716384,0.5449172451951143,-0.18890175551876154,0.24319107870469656,0.019964296646500648,0.9924956837049501,0.2057560780924002,P_md,1590,1,10,0.005,0.03860175852455501,9.727643148187862
4663,0.030470617014080444,0.08312157625562089,0.36657891231965123,-0.20352504651730896,0.24018871970834227,0.005368069640178586,0.26429817214817436,0.2057951201386755,P_md,1590,1,10,0.008,0.03860175852455501,9.727643148187862
4663,0.020742973865892588,0.08354464094453046,0.2482861094545239,-0.22864936966634908,0.23933090285224104,-0.0043627483640361,-0.21308004746431433,0.20582114816952574,P_md,1590,1,10,0.01,0.03860175852455501,9.727643148187862
4653,0.08600296486290757,0.08936936878604418,0.9623315687593588,-0.1909782449556109,0.2624113475177305,0.05687245082557717,2.663330645009771,0.24068544414410287,P_md,1590,1,20,0.0,0.019127444659359553,4.820116054158608
4653,0.07877279078166964,0.08932798556194385,0.8818377609897541,-0.19752277941219532,0.2619815173006662,0.04963380398197973,2.3255405147376464,0.2407554487643103,P_md,1590,1,20,0.003,0.019127444659359553,4.820116054158608
4653,0.07395267472751105,0.08936655580132437,0.8275206990400218,-0.20233717266736384,0.2611218568665377,0.04480803941958144,2.0989454433097023,0.24080211851111522,P_md,1590,1,20,0.005,0.019127444659359553,4.820116054158608
4653,0.06672250064627314,0.08952347872017406,0.7453072825155672,-0.20951361712283112,0.25983236621534495,0.03756939257598401,1.7577352098153916,0.2408721231313226,P_md,1590,1,20,0.008,0.019127444659359553,4.820116054158608
4653,0.061902384592114515,0.08969386942680121,0.6901517906152193,-0.214267957182679,0.25918762088974856,0.032743628013585734,1.5298448318856666,0.24091879287812756,P_md,1590,1,20,0.01,0.019127444659359553,4.820116054158608
4672,0.1322898889096307,0.08362172182173493,1.5820038864022288,-0.19877740368694274,0.2624143835616438,0.10697518521475348,4.897915805669183,0.21061458970285735,P_md,1590,3,1,0.0,0.2771832191780822,69.85017123287672
4672,0.02751463206031563,0.08422630420409814,0.32667504908730016,-0.2959066758153811,0.2512842465753425,0.002164706935770669,0.09796142076788689,0.21090762678706051,P_md,1590,3,1,0.003,0.2771832191780822,69.85017123287672
4672,-0.04233553917256108,0.08536961699072741,-0.49590873972363547,-0.6406919374419799,0.24079623287671234,-0.06770894525021783,-2.9167982462406035,0.21110298484319598,P_md,1590,3,1,0.005,0.2771832191780822,69.85017123287672
