n,F_lag1,p_lag1,F_lag2,p_lag2,F_lag3,p_lag3,F_lag5,p_lag5,weight,industry_code,industry_name,src,dst,freq,lags,F_lag4,p_lag4
2746,0.7558741426387409,0.3846988868450237,0.6072912221798352,0.5448980242299934,0.5272740611800623,0.6635567630012041,0.44514079416015545,0.8170688765368769,VW,C200,醫療器材,上游,下游,D,"1,2,3,5",,
580,0.10523493475502024,0.7457534868393293,0.06741758797055696,0.9348121704917134,,,,,VW,C200,醫療器材,上游,下游,W,"1,2,4",0.5502297629232965,0.6989326211596949
135,0.004546439940235204,0.9463443447676583,1.2049444193583665,0.303085022530422,1.1558338986585752,0.3294390245984027,,,VW,C200,醫療器材,上游,下游,M,"1,2,3",,
2746,0.8510521382087571,0.3563360282247209,0.5616975323331544,0.5703059120615126,0.3871644278236788,0.7622620890148041,0.29515994298382353,0.9157985776409879,VW,C200,醫療器材,下游,上游,D,"1,2,3,5",,
580,0.2244748078791034,0.6358308174962094,0.10807939458543651,0.8975746256227644,,,,,VW,C200,醫療器材,下游,上游,W,"1,2,4",0.48130552479217514,0.7494873335287023
135,0.02129053718289584,0.8842145352063692,0.5355616738432978,0.5866462587412365,0.6585996990008887,0.5790431838085581,,,VW,C200,醫療器材,下游,上游,M,"1,2,3",,
2746,1.3619367271811842,0.24330359068389393,4.152744770946448,0.015820301304136204,2.9190836079698665,0.03288262977128042,2.0450997265437554,0.06944637288063983,VW,C200,醫療器材,上游,中游,D,"1,2,3,5",,
580,5.873254304597365,0.01567966346038188,3.0257377726467403,0.04929799275398,,,,,VW,C200,醫療器材,上游,中游,W,"1,2,4",1.4728146385337793,0.20897725608932613
135,1.1087920403764047,0.2942830643645674,1.0251959240947122,0.36165251704368084,1.8376106029679058,0.14374029655067988,,,VW,C200,醫療器材,上游,中游,M,"1,2,3",,
2746,1.247222926891701,0.2641813960777966,4.788773731815869,0.008392467760775252,3.635973181710341,0.01234591590036936,2.428192320955228,0.03317086602722063,VW,C200,醫療器材,中游,上游,D,"1,2,3,5",,
580,1.4440003245972493,0.2299869279429232,0.810171794541875,0.4452904836291073,,,,,VW,C200,醫療器材,中游,上游,W,"1,2,4",0.39998197267812124,0.8087041608405353
135,1.250695724427381,0.26546624864589347,1.3311072747438197,0.26781637130794306,1.5139057177842221,0.21418132884401336,,,VW,C200,醫療器材,中游,上游,M,"1,2,3",,
2746,0.32855905110133804,0.5665558086729464,2.6182644960706867,0.07311184913394037,2.261348886223674,0.07935955742169008,1.5321079247412455,0.17636276777217058,VW,C200,醫療器材,中游,下游,D,"1,2,3,5",,
