A,B,n,beta_AB,t_AB,p_AB,L_strict,L_loose,S_undir,A_name,B_name
2000,D000,859,0.05079579221234583,0.869529572964278,0.3845575399487735,0,0,0,造紙,半導體
2000,F000,859,0.035784767492657465,0.6810595286627997,0.4958338241313538,0,0,1,造紙,電腦週邊
2000,G000,859,0.05762184155700511,1.0638571610048748,0.2873934120657443,0,0,0,造紙,平面顯示器
2000,H000,859,0.04488663270198409,0.8370472618426692,0.4025660026915172,0,0,0,造紙,觸控面板
2000,I000,859,0.030874877714184866,0.5924058602256514,0.5535788430708868,0,0,0,造紙,通信網路
2000,J000,859,0.055081824925883004,0.9304091007434837,0.3521593083372644,0,0,0,造紙,被動元件
2000,K000,859,0.03853649607967791,0.7523373980941674,0.4518481831256068,0,0,0,造紙,連接器
2000,L000,859,0.03370413883229806,0.5984810364891228,0.5495190085757231,0,1,1,造紙,印刷電路板
2000,M000,859,0.0561360058066399,1.4012572773467011,0.16113715182442534,0,0,0,造紙,食品
2000,N000,859,0.021071699822877085,0.4699246782922094,0.63840883216073,0,0,1,造紙,石化及塑橡膠
2000,O000,859,0.033176624944551654,0.7361490516148669,0.4616399940619499,0,0,0,造紙,紡織
2000,P000,859,0.014759989276556827,0.3533690613028625,0.7238117770954532,0,0,0,造紙,電機機械
2000,Q000,859,0.09161564160656041,1.7401238680116708,0.08183727005202308,0,0,0,造紙,鋼鐵
2000,R000,859,0.018296018018014105,0.4186467797539704,0.675474296061067,0,0,1,造紙,軟體服務
2000,R300,859,-0.004871277643510708,-0.09199481516253215,0.9267021590252744,0,0,0,造紙,電子商務
2000,S000,859,0.05041473310691735,1.0680317909006218,0.28550617169638126,0,0,0,造紙,建材營造
2000,T000,859,0.054727382472194205,0.85295562945543,0.39368391041508277,0,0,0,造紙,交通運輸及航運
2000,U000,859,-0.0011159178914733722,-0.021948979989122784,0.9824886537903075,0,0,0,造紙,金融
2000,V000,859,0.03846322019600315,0.9927486270477082,0.320832471089068,0,0,0,造紙,貿易百貨
2000,W000,859,0.008445732949529279,0.33595149175277905,0.7369074465086518,0,0,0,造紙,油電燃氣
2000,X000,859,0.01626197108687509,0.3949992121677623,0.6928434693972851,0,0,2,造紙,其他
2000,Y000,859,0.018050074646978834,0.3385401065443629,0.7349562087123731,0,0,0,造紙,文化創意
3000,1000,859,-0.027962309552093927,-0.2853483514097704,0.7753772728303621,0,0,0,汽車,水泥
3000,2000,859,-0.09524535918843553,-0.715932578383665,0.47403298097096846,0,0,0,汽車,造紙
