n,ann_ret,ann_vol,sharpe,max_dd,win,ann_alpha,t_alpha,beta,predictor,smooth_N,hold_K,cost_rt,avg_daily_turn,ann_turn
4668,0.0804311950109558,0.12431525370409122,0.646993772802869,-0.43005176700390024,0.35732647814910024,0.03174950435876964,1.0562275665769894,0.39852455918851426,D100,10,5,0.01,0.06812339331619537,17.16709511568123
4663,0.18917670790801477,0.12673821943222452,1.4926571381191003,-0.26044837514209473,0.374008149260133,0.1379005200218939,5.066486387550591,0.42037125113638635,D100,10,10,0.0,0.03774394166845379,9.511473300450355
4663,0.17490949795733923,0.12688561446508942,1.378481703341263,-0.2767354116285219,0.37336478661805705,0.12356862908581152,4.457665021927694,0.4209015172868377,D100,10,10,0.003,0.03774394166845379,9.511473300450355
4663,0.16539802465688888,0.12707386504355533,1.301589627420223,-0.2882773739681922,0.3727214239759811,0.11401403512842327,4.062529504339036,0.42125502805380527,D100,10,10,0.005,0.03774394166845379,9.511473300450355
4663,0.15113081470621334,0.12749042450532633,1.185428751160048,-0.3052669829121867,0.37057688183572807,0.09968214419234099,3.4860333484446566,0.4217852942042567,D100,10,10,0.008,0.03774394166845379,9.511473300450355
4663,0.141619341405763,0.1278569064991982,1.1076393546769498,-0.3163813478059706,0.36950461076560154,0.09012755023495277,3.112504335385942,0.4221388049712243,D100,10,10,0.01,0.03774394166845379,9.511473300450355
4653,0.18593121747278452,0.1291298622105624,1.4398777656062267,-0.31098086416478155,0.37244788308618093,0.1324081003930038,4.514137537475082,0.44222478154060113,D100,10,20,0.0,0.02192134107027724,5.524177949709864
4653,0.17764495054821972,0.1291520800086168,1.3754710767055984,-0.31922462391048667,0.37180313776058455,0.1241263002021502,4.203877623858552,0.44218787598562964,D100,10,20,0.003,0.02192134107027724,5.524177949709864
4653,0.17212077259850986,0.12921917819326473,1.3320064018754247,-0.32467239769228406,0.37115839243498816,0.11860510007491447,3.9985279076716918,0.4421632722823152,D100,10,20,0.005,0.02192134107027724,5.524177949709864
4653,0.16383450567394509,0.1293980922737311,1.2661276746442798,-0.3327725362438302,0.3698689017837954,0.11032329988406087,3.692954042838468,0.44212636672734373,D100,10,20,0.008,0.02192134107027724,5.524177949709864
4653,0.15831032772423523,0.12956937808194335,1.221818998190416,-0.338125281645259,0.3694390715667311,0.10480209975682514,3.490989623022762,0.4421017630240294,D100,10,20,0.01,0.02192134107027724,5.524177949709864
4672,0.23235489235905904,0.11681356446656592,1.989108828414898,-0.1808909760645292,0.3891267123287671,0.18953479067239254,7.02595437012853,0.35625691125892534,D100,20,1,0.0,0.1014554794520548,25.56678082191781
4672,0.19400472112618228,0.11685162855984049,1.6602654453106849,-0.22975954386796738,0.385916095890411,0.15115702408121945,5.269847540417302,0.3564865005575144,D100,20,1,0.003,0.1014554794520548,25.56678082191781
4672,0.16843794030426446,0.11712248768738943,1.438134927204079,-0.26079854893038823,0.3809931506849315,0.12557184635377075,4.202815348507297,0.35663956008990705,D100,20,1,0.005,0.1014554794520548,25.56678082191781
4672,0.13008776907138778,0.11789361705948127,1.103433521814452,-0.3060456482741918,0.3762842465753425,0.08719407976259767,2.746945007906951,0.3568691493884962,D100,20,1,0.008,0.1014554794520548,25.56678082191781
4672,0.10452098824946995,0.11864724191239515,0.8809390472527335,-0.33469617764339143,0.3737157534246575,0.06160890203514894,1.8654232214535882,0.35702220892088893,D100,20,1,0.01,0.1014554794520548,25.56678082191781
4668,0.17163868921779604,0.12287181472749456,1.3968922783345945,-0.2263483747082634,0.38131962296486716,0.12324428293631809,4.593749099541246,0.3961727534959743,D100,20,5,0.0,0.049271636675235646,12.416452442159382
4668,0.15301401055455696,0.12293493718193743,1.244674736589356,-0.24481165298968222,0.3796058269065981,0.10465252794172387,3.7894376029310135,0.39590322936158695,D100,20,5,0.003,0.049271636675235646,12.416452442159382
4668,0.1405975581123976,0.1230969566541424,1.1421692455600307,-0.2575643528949553,0.3783204798628963,0.09225802461199442,3.276545425695298,0.3957235466053287,D100,20,5,0.005,0.049271636675235646,12.416452442159382
