n,ann_ret,ann_vol,sharpe,max_dd,ann_alpha,t_alpha,beta,target,predictor,smooth_N,hold_K,cost_rt,avg_daily_turn,ann_turn
4672,-0.008288067243151563,0.13747789870806149,-0.060286542935541435,-0.5046784149958515,-0.05986154820409134,-2.2580894855149114,0.42908373185243154,G_md,A_G_up,3,1,0.008,0.2718321917808219,68.50171232876713
4672,-0.07678977957191871,0.13917263785683998,-0.5517591730273056,-0.8543530070848501,-0.12850702400855413,-4.675564222980798,0.4302798227019562,G_md,A_G_up,3,1,0.01,0.2718321917808219,68.50171232876713
4668,0.12035721362367986,0.1362863080408124,0.8831203614939631,-0.4337680686165105,0.06588082940491087,2.4814192302700544,0.44596185375074027,G_md,A_G_up,3,5,0.0,0.09383033419023136,23.645244215938302
4668,0.0848893472997724,0.1362241846551179,0.6231591513260942,-0.46432092613877995,0.030428409165424893,1.1215062570880776,0.4458354069510755,G_md,A_G_up,3,5,0.003,0.09383033419023136,23.645244215938302
4668,0.06124410308383409,0.13637932499953823,0.4490717569106715,-0.4837919101002133,0.006793462339100843,0.24663572345823456,0.4457511090846322,G_md,A_G_up,3,5,0.005,0.09383033419023136,23.645244215938302
4668,0.02577623675992664,0.13690553301056632,0.18827753848295703,-0.5184825712144834,-0.02865895790038511,-1.016324652152414,0.44562466228496755,G_md,A_G_up,3,5,0.008,0.09383033419023136,23.645244215938302
4668,0.0021309925439883404,0.13745025551800924,0.015503736504215737,-0.5705126687579003,-0.05229390472670915,-1.824837781492284,0.4455403644185241,G_md,A_G_up,3,5,0.01,0.09383033419023136,23.645244215938302
4663,0.13964782020075675,0.13894386710874632,1.0050664567401129,-0.4008849743046391,0.08390031734661858,2.8829306808751944,0.45702788152990803,G_md,A_G_up,3,10,0.0,0.04439202230323826,11.186789620416041
4663,0.12286763577013268,0.1389085570629481,0.8845217196695356,-0.42038129219750053,0.06708412520248636,2.2797223671881137,0.4573230791294565,G_md,A_G_up,3,10,0.003,0.04439202230323826,11.186789620416041
4663,0.11168084614971664,0.13898121371931807,0.8035679295135791,-0.43378758866262057,0.05587333043973153,1.883946829031315,0.4575198775291555,G_md,A_G_up,3,10,0.005,0.04439202230323826,11.186789620416041
4663,0.09490066171909259,0.139234192544327,0.6815902041366724,-0.4555450345125409,0.03905713829559938,1.3007626936369194,0.457815075128704,G_md,A_G_up,3,10,0.008,0.04439202230323826,11.186789620416041
4663,0.08371387209867655,0.1394984347844839,0.600106174868622,-0.48472503111505527,0.027846343532844566,0.9194331057691786,0.45801187352840306,G_md,A_G_up,3,10,0.01,0.04439202230323826,11.186789620416041
4653,0.12396569438089595,0.14617994594954659,0.8480348899819831,-0.5501106940239129,0.06153304177395475,1.8328301972195153,0.5158381586586382,G_md,A_G_up,3,20,0.0,0.02192134107027724,5.524177949709864
4653,0.11567942745633113,0.14618873503087487,0.791301925089507,-0.5660441550702773,0.053226583696266004,1.5829345368551435,0.5160049842989687,G_md,A_G_up,3,20,0.003,0.02192134107027724,5.524177949709864
4653,0.11015524950662127,0.14624079443292254,0.7532456995585256,-0.5763644783063931,0.04768894497780682,1.4164996813058313,0.5161162013925222,G_md,A_G_up,3,20,0.005,0.02192134107027724,5.524177949709864
4653,0.10186898258205647,0.14638808497822592,0.6958830194220295,-0.5914051183442915,0.039382486900118,1.1672820974720093,0.5162830270328526,G_md,A_G_up,3,20,0.008,0.02192134107027724,5.524177949709864
4653,0.09634480463234658,0.14653230476624352,0.6574987323514851,-0.6011464425545021,0.033844848181658796,1.0015367713866177,0.516394244126406,G_md,A_G_up,3,20,0.01,0.02192134107027724,5.524177949709864
4672,0.26537679443876844,0.13083650795018284,2.0283084484325506,-0.2108879232544557,0.21740756162707628,8.42814970580508,0.3990969204604931,G_md,A_G_up,5,1,0.0,0.21746575342465754,54.801369863013704
